77    (-0.174366,0)
78    (0.247353,0)
79    (-0.0458208,0)
80    (0.00772705,0)
81    (-0.0188666,0)
82    (-0.00998872,0)
83    (0.017845,0)
84    (-0.072113,0)
85    (-0.185719,0)
86    (-0.0122368,0)
87    (0.0205893,0)
88    (0.0139045,0)
89    (-0.0212631,0)
90    (0.282102,0)
91    (0.013378,0)
92    (-0.0233998,0)
93    (-0.0148031,0)
94    (0.0225464,0)
95    (-0.0113774,0)
96    (0.0260322,0)
97    (0.0144806,0)
98    (-0.0228845,0)
168    (0.180229,0)
169    (-0.353785,0)
170    (0.107036,0)
171    (-0.00922463,0)
172    (0.0227175,0)
173    (0.00787135,0)
174    (-0.0268849,0)
175    (0.0646423,0)
176    (0.129848,0)
177    (0.0106089,0)
178    (-0.0147196,0)
179    (-0.00866278,0)
180    (0.019028,0)
181    (-0.292981,0)
182    (-0.0169562,0)
183    (0.0222663,0)
184    (0.0135969,0)
185    (-0.0271873,0)
186    (0.0128725,0)
187    (-0.0254844,0)
188    (-0.0112469,0)
189    (0.0281992,0)
190    (-0.000460707,0)
192    (0.000461205,0)
193    (-0.000413326,0)
195    (-0.000402285,0)
246    (-0.282102,0)
247    (0.247353,0)
248    (-0.072113,0)
249    (0.0148031,0)
250    (-0.0225464,0)
251    (-0.013378,0)
252    (0.0233998,0)
253    (-0.0458208,0)
254    (-0.185719,0)
255    (-0.0144806,0)
256    (0.0228845,0)
257    (0.0113774,0)
258    (-0.0260322,0)
259    (0.174366,0)
260    (0.00998872,0)
261    (-0.017845,0)
262    (-0.00772705,0)
263    (0.0188666,0)
264    (-0.0139045,0)
265    (0.0212631,0)
266    (0.0122368,0)
267    (-0.0205893,0)
312    (0.292981,0)
313    (-0.353785,0)
314    (0.0646423,0)
315    (-0.0135969,0)
316    (0.0271873,0)
317    (0.0169562,0)
318    (-0.0222663,0)
319    (0.107036,0)
320    (0.129848,0)
321    (0.0112469,0)
322    (-0.0281992,0)
323    (-0.0128725,0)
324    (0.0254844,0)
325    (-0.180229,0)
326    (-0.00787135,0)
327    (0.0268849,0)
328    (0.00922463,0)
329    (-0.0227175,0)
330    (0.00866278,0)
331    (-0.019028,0)
332    (-0.0106089,0)
333    (0.0147196,0)
334    (0.000402285,0)
336    (-0.000413326,0)
337    (0.000461205,0)
339    (0.000460707,0)
367    (0.00502908,0)
368    (-0.000917658,0)
369    (-0.000952134,0)
370    (0.000387245,0)
371    (-0.000407182,0)
374    (0.0021274,0)
376    (-0.00772076,0)
377    (-0.00130384,0)
378    (-0.000345744,0)
379    (-0.00101705,0)
380    (0.00488741,0)
381    (0.0109523,0)
382    (0.00142641,0)
384    (0.00195047,0)
385    (-0.0026868,0)
386    (0.000539567,0)
388    (-0.000905878,0)
389    (0.000855983,0)
390    (0.000419074,0)
391    (-0.000697085,0)
412    (0.0054531,0)
414    (0.000787625,0)
415    (-0.000959042,0)
416    (-0.00752643,0)
417    (-0.00160796,0)
418    (-0.000524128,0)
419    (-0.00231327,0)
420    (0.00174809,0)
421    (-0.000538103,0)
423    (0.000357371,0)
425    (0.00447004,0)
426    (0.00135731,0)
427    (0.00206299,0)
429    (0.000421805,0)
430    (0.000387193,0)
431    (0.0057494,0)
432    (0.0013855,0)
434    (0.000558987,0)
438    (-0.000798314,0)
448    (-0.00488741,0)
449    (-0.000917658,0)
450    (0.0021274,0)
452    (-0.00195047,0)
453    (-0.0109523,0)
454    (-0.00142641,0)
455    (-0.000952134,0)
458    (0.000905878,0)
459    (0.0026868,0)
460    (-0.000539567,0)
461    (-0.00502908,0)
464    (-0.000387245,0)
465    (0.000407182,0)
466    (0.000345744,0)
467    (0.00101705,0)
468    (0.00772076,0)
469    (0.00130384,0)
471    (0.000419074,0)
473    (-0.000697085,0)
475    (-0.000855983,0)
476    (-0.00447004,0)
478    (-0.00231327,0)
480    (-0.000421805,0)
481    (-0.00135731,0)
482    (-0.00206299,0)
483    (0.000787625,0)
484    (0.00174809,0)
485    (-0.0013855,0)
487    (-0.000387193,0)
488    (-0.0057494,0)
489    (-0.0054531,0)
490    (0.00160796,0)
491    (0.000524128,0)
492    (0.000959042,0)
493    (0.00752643,0)
494    (-0.000357371,0)
496    (0.000538103,0)
502    (-0.000798314,0)
503    (-0.000558987,0)
