6    (-0.185951,0)
7    (0.184694,0)
8    (-0.301724,0)
9    (0.299391,0)
10    (0.0055238,0)
11    (0.00543287,0)
12    (-0.00484577,0)
13    (-0.00493527,0)
19    (0.184538,0)
20    (-0.263942,0)
21    (0.184538,0)
22    (-0.263942,0)
23    (-0.00148225,0)
25    (-0.00148225,0)
31    (0.0216809,0)
32    (-0.000956796,0)
33    (0.0374609,0)
34    (-0.00200741,0)
35    (0.0010615,0)
36    (-0.00101277,0)
37    (0.000387656,0)
38    (-0.000361249,0)
42    (0.0124811,0)
43    (-0.0168003,0)
44    (0.0239108,0)
45    (-0.0200622,0)
47    (-0.00121963,0)
49    (0.000654048,0)
52    (-0.0145195,0)
53    (0.0171445,0)
54    (-0.0164499,0)
55    (0.0204146,0)
56    (-0.000508075,0)
57    (-0.00798952,0)
58    (-0.00168291,0)
61    (-0.0161343,0)
62    (0.0166625,0)
63    (-0.0216089,0)
64    (0.0234403,0)
66    (-0.00130856,0)
67    (-0.00817099,0)
68    (-0.000903689,0)
69    (0.0128693,0)
70    (-0.0199261,0)
71    (0.0178283,0)
72    (-0.0164158,0)
74    (-0.000435497,0)
75    (-0.000836422,0)
76    (0.00083531,0)
110    (0.0374609,0)
111    (-0.00200741,0)
112    (0.0216809,0)
113    (-0.000956796,0)
114    (0.000387656,0)
115    (-0.000361249,0)
116    (0.0010615,0)
117    (-0.00101277,0)
122    (-0.299983,0)
123    (0.209737,0)
124    (-0.299983,0)
125    (0.209737,0)
127    (0.00130417,0)
129    (0.00130417,0)
133    (-0.019392,0)
134    (0.0162903,0)
135    (-0.0231395,0)
136    (0.0188731,0)
137    (-0.00794785,0)
138    (-0.000479999,0)
139    (-0.00032833,0)
140    (-0.00180407,0)
143    (0.0143632,0)
144    (-0.0109816,0)
145    (0.0180705,0)
146    (-0.0210381,0)
147    (-0.00114569,0)
148    (0.000328355,0)
149    (0.000502879,0)
152    (0.0227097,0)
153    (-0.0148384,0)
154    (0.0187509,0)
155    (-0.0200859,0)
156    (-0.000473751,0)
159    (-0.00105928,0)
160    (-0.0137907,0)
161    (0.0141959,0)
162    (-0.021494,0)
163    (0.0190127,0)
164    (-0.00143528,0)
166    (-0.00107905,0)
167    (-0.00928673,0)
200    (0.301724,0)
201    (-0.299391,0)
202    (0.185951,0)
203    (-0.184694,0)
204    (0.00484577,0)
205    (0.00493527,0)
206    (-0.0055238,0)
207    (-0.00543287,0)
211    (0.0216089,0)
212    (-0.0234403,0)
213    (0.0161343,0)
214    (-0.0166625,0)
215    (0.00817099,0)
216    (0.000903689,0)
218    (0.00130856,0)
221    (-0.0178283,0)
222    (0.0164158,0)
223    (-0.0128693,0)
224    (0.0199261,0)
225    (0.000836422,0)
226    (-0.00083531,0)
228    (0.000435497,0)
230    (-0.0239108,0)
231    (0.0200622,0)
232    (-0.0124811,0)
233    (0.0168003,0)
235    (-0.000654048,0)
237    (0.00121963,0)
238    (0.0164499,0)
239    (-0.0204146,0)
240    (0.0145195,0)
241    (-0.0171445,0)
242    (0.00168291,0)
244    (0.000508075,0)
245    (0.00798952,0)
277    (-0.0187509,0)
278    (0.0200859,0)
279    (-0.0227097,0)
280    (0.0148384,0)
282    (0.00105928,0)
283    (0.000473751,0)
287    (0.021494,0)
288    (-0.0190127,0)
289    (0.0137907,0)
290    (-0.0141959,0)
291    (0.00107905,0)
292    (0.00928673,0)
293    (0.00143528,0)
296    (0.0231395,0)
297    (-0.0188731,0)
298    (0.019392,0)
299    (-0.0162903,0)
300    (0.00032833,0)
301    (0.00180407,0)
302    (0.00794785,0)
303    (0.000479999,0)
304    (-0.0180705,0)
305    (0.0210381,0)
306    (-0.0143632,0)
307    (0.0109816,0)
308    (-0.000502879,0)
310    (0.00114569,0)
311    (-0.000328355,0)
342    (0.000404226,0)
343    (-0.000364304,0)
344    (-0.000324219,0)
346    (0.000707665,0)
347    (0.000771355,0)
355    (0.00067691,0)
357    (0.00067691,0)
359    (-0.000336888,0)
360    (0.00036969,0)
361    (0.000407956,0)
363    (-0.000451005,0)
366    (0.00054553,0)
396    (0.000407956,0)
398    (-0.000336888,0)
399    (0.00036969,0)
401    (0.00054553,0)
402    (-0.000451005,0)
409    (-0.000595584,0)
411    (-0.000595584,0)
440    (0.000324219,0)
442    (-0.000404226,0)
443    (0.000364304,0)
446    (-0.000707665,0)
447    (-0.000771355,0)
