# rx	Sz_s	Sz_p
1.000000 0.042154 0.042207
2.000000 -0.002768 -0.002738
3.000000 0.010009 0.010013
4.000000 -0.000283 -0.000221
5.000000 0.000292 0.000159
6.000000 0.000726 0.000447
7.000000 -0.008654 -0.010103
8.000000 0.003023 -0.000298
9.000000 -0.056086 -0.043015
10.000000 -0.125811 -0.006743
11.000000 -0.018070 -0.000328
12.000000 -0.000567 -0.000011
