# rx	n_s	n_p	n_tot
1.000000 4.799118 1.219896 6.019015
2.000000 4.855360 1.148697 6.004057
3.000000 4.781281 1.226811 6.008092
4.000000 4.825672 1.179852 6.005524
5.000000 4.788798 1.219587 6.008385
6.000000 4.830247 1.189493 6.019739
7.000000 4.785901 1.224713 6.010614
8.000000 4.883966 1.232032 6.115998
9.000000 4.352220 1.017131 5.369351
10.000000 2.034000 0.102968 2.136968
11.000000 0.288667 0.003774 0.292440
12.000000 0.009682 0.000135 0.009817
