# rx	Sz_s	Sz_p
1.000000 -0.057380 -0.056934
2.000000 0.003828 0.003625
3.000000 -0.013964 -0.013250
4.000000 0.000560 0.000116
5.000000 -0.000990 0.000014
6.000000 -0.000648 -0.001048
7.000000 0.011205 0.012961
8.000000 -0.001600 -0.002001
9.000000 0.090830 0.055847
10.000000 0.246066 0.011154
11.000000 0.042957 0.000463
12.000000 0.001502 0.000021
