# rx	n_s	n_p	n_tot
1.000000 4.785047 1.214047 5.999094
2.000000 4.854759 1.145502 6.000260
3.000000 4.772598 1.228634 6.001232
4.000000 4.826472 1.176221 6.002693
5.000000 4.780910 1.223368 6.004279
6.000000 4.829828 1.185266 6.015094
7.000000 4.772928 1.228166 6.001094
8.000000 4.846267 1.226735 6.073002
9.000000 4.185970 1.038418 5.224389
10.000000 1.437613 0.091787 1.529400
11.000000 0.142146 0.003221 0.145367
12.000000 0.004011 0.000086 0.004097
