# rx	Sz_s	Sz_p
1.000000 -0.042460 -0.042514
2.000000 0.002789 0.002757
3.000000 -0.010082 -0.010087
4.000000 0.000285 0.000222
5.000000 -0.000295 -0.000161
6.000000 -0.000729 -0.000453
7.000000 0.008713 0.010165
8.000000 -0.003038 0.000274
9.000000 0.056362 0.043278
10.000000 0.125857 0.006798
11.000000 0.018071 0.000336
12.000000 0.000566 0.000013
