# rx	delta_n_s	delta_n_p
1.000000 0.021302 0.006200
2.000000 0.000230 0.005011
3.000000 0.014408 -0.004924
4.000000 -0.002194 0.006132
5.000000 0.013385 -0.007535
6.000000 -0.001258 0.008890
7.000000 0.016975 -0.000549
8.000000 0.042043 0.029335
9.000000 0.241742 -0.004354
10.000000 1.321135 0.019628
11.000000 0.262602 0.002349
12.000000 0.009319 0.000128
