# rx	delta_n_s	delta_n_p
1.000000 0.014072 0.005849
2.000000 0.000601 0.003196
3.000000 0.008683 -0.001823
4.000000 -0.000799 0.003631
5.000000 0.007888 -0.003782
6.000000 0.000419 0.004227
7.000000 0.012972 -0.003453
8.000000 0.037699 0.005297
9.000000 0.166250 -0.021287
10.000000 0.596387 0.011181
11.000000 0.146521 0.000552
12.000000 0.005671 0.000049
