# rx	Sz_s	Sz_p
1.000000 0.000339 0.000340
2.000000 -0.000022 -0.000022
3.000000 0.000079 0.000081
4.000000 -0.000002 -0.000002
5.000000 0.000000 0.000002
6.000000 0.000006 0.000005
7.000000 -0.000073 -0.000071
8.000000 0.000024 0.000023
9.000000 -0.000336 -0.000296
10.000000 -0.000021 -0.000047
11.000000 -0.000004 -0.000003
12.000000 -0.000001 -0.000000
